CATEGORY,DISTRICT,LAT,LNG,NAME,POSTCODE,ROAD
Retail Outlets and Supermarkets,MAAFANNU,4.179269131,73.51031274,ADT NO 2 STORE,20182,IBARAHIM HASSAN DIDI MAGU
Residences,MACHCHANGOLHI,4.173424067,73.50941688,AFEESHA,20166,KURIKEELA MAGU
Residences,MAAFANNU,4.177500904,73.50657905,AFFECTION NIGHT,20255,CARNATION MAGU
Residences,MAAFANNU,4.173135156,73.50494027,AFSAANAAGE,20301,GULHAZAARU GOALHI
Residences,HENVEIRU,4.175671145,73.51637453,AFSANTHEEN,20032,VIOLET MAGU
Residences,MAAFANNU,4.17838368,73.50678831,AFZAA,20254,LAINOOFARU MAGU
Residences,HENVEIRU,4.173466868,73.5154894,AGEEDHUGE,20046,VAIJEHEY MAGU
Residences,HENVEIRU,4.177270846,73.51605266,AGI,20030,KASTHOORI  MAGU
Residences,GALOLHU,4.172378103,73.51262748,AGOOHAA,20110,LONUZIYAARAIY MAGU
Residences,MAAFANNU,4.174025963,73.50253969,AGRA,20340,BLUEKIYA  MAGU
Residences,MAAFANNU,4.176936461,73.5052219,AGULEEMUGE,20288,KULHLHAVAH GOALHI
Retail Outlets and Supermarkets,MAAFANNU,4.177859365,73.5077405,AH STORE,20224,ORCHID MAGU
Residences,MAAFANNU,4.177123717,73.50762516,AHI,20256,FAREEDHEE MAGU
Residences,MAAFANNU,4.177185244,73.50751792,AHIGAS,20256,FAREEDHEE MAGU
Residences,MAAFANNU,4.17707289,73.50755274,AHIGASDHOSHUGE,20256,FAREEDHEE MAGU
Residences,MAAFANNU,4.174272072,73.50520308,AHIMAAGE,20276,MIRIYAAS MAGU
Residences,MAAFANNU,4.174384426,73.50518435,AHIMAAGE AAGE,20276,MIRIYAAS MAGU
Residences,MACHCHANGOLHI,4.1736461,73.50735694,AHMAAN,20233,GUL ALAA GOALHI
Residences,MAAFANNU,4.175473188,73.50370109,AHMADHEE AABAADHU,20326,IZZUDHEEN MAGU
Retail Outlets and Supermarkets,MAAFANNU,4.179662367,73.50996673,AHMADHEE BAAZAARU  NO 7 FIHAARA,20181,KANDI DHON MANIKU GOALHI
Residences,MAAFANNU,4.177460777,73.50309223,AHULIHA,20334,HAVEEREE HINGUN
Residences,HENVEIRU,4.17644692,73.51669908,AIBAHAARU,20015,DHEEFRAM GOALHI
Residences,HENVEIRU,4.17451283,73.51397932,AIDAM WOOD,20071,NIROLHU MAGU
Residences,HENVEIRU,4.172295175,73.51567179,AIDHA,20051,LONUZIYAARAIY MAGU
